N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
55,edisonn55.xlsx,GMM,5000,2,15,2:40,normal,0.3,5,0,0,0.99,0.82,0.99,0.99,0.99,0.86,0.43,0.99,0.91,0.82,0.99,0.82,0.43,0.99,0.82,0.85,0.9,0.9,0.99,0.83,0.99,0.9,0.99,0.99,0.99,0.99,NI,0.83,0.88,0.82,0.99,NI,NI,0.99,0.99,0.99,NI,0.9,0.43,0.43,0.43,0.43,0.67,0.67,0.88,0.88,0.99,0.88,0.88,0.99,0.43,0.43,0.43,1.0000000000000002
56,edisonn56.xlsx,GMM,5000,2,16,2:40,normal,0.1,1,0,0,0.98,0.84,0.98,0.98,0.98,0.87,0.4,0.98,0.92,0.84,0.98,0.84,0.4,0.98,0.84,0.87,0.98,0.98,0.98,0.96,0.98,0.4,0.98,0.4,0.98,0.98,NI,0.85,0.98,0.84,0.98,NI,NI,0.98,0.98,0.4,NI,0.98,0.4,0.4,0.4,0.54,0.98,0.98,0.54,0.97,0.97,0.54,0.97,0.97,0.4,0.4,0.4,0.316199027360985
57,edisonn57.xlsx,GMM,5000,2,16,2:40,normal,0.1,5,0,0,1.0,0.85,0.96,1.0,0.98,0.96,0.96,1.0,0.92,0.85,1.0,0.85,0.55,0.96,0.85,0.88,1.0,0.98,1.0,0.86,0.98,0.96,0.99,0.99,0.99,1.0,NI,0.86,0.6,0.85,1.0,NI,NI,0.99,1.0,0.99,NI,0.98,0.96,0.96,0.96,0.96,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.36,0.55,1.0,0.9758404626293636
58,edisonn58.xlsx,GMM,5000,2,16,2:40,normal,0.3,1,0,0,0.83,0.71,0.71,0.83,0.53,0.79,0.53,0.75,0.76,0.71,0.75,0.71,0.39,0.75,0.71,0.74,0.66,0.53,0.75,0.75,0.75,0.71,0.39,0.39,0.53,0.75,NI,0.74,0.71,0.71,0.66,NI,NI,0.75,0.8,0.39,NI,0.53,0.53,0.53,0.53,0.66,0.66,0.79,0.39,0.66,0.66,0.39,0.75,0.75,0.39,0.39,0.39,1.0000000000000002
59,edisonn59.xlsx,GMM,5000,2,16,2:40,normal,0.3,5,0,0,0.77,0.84,0.99,0.99,0.94,0.92,0.94,0.94,0.88,0.84,0.99,0.84,0.55,0.94,0.87,0.88,0.97,0.94,0.99,0.85,0.94,0.94,0.99,0.99,0.99,0.99,NI,0.88,0.6,0.84,0.99,NI,NI,0.99,0.99,0.99,NI,0.94,0.94,0.94,0.94,0.55,0.55,0.99,0.55,0.55,0.94,0.55,0.55,0.94,0.4,0.55,0.98,0.9775426017375368
60,edisonn60.xlsx,GMM,5000,2,17,2:40,normal,0.1,1,0,0,1.0,0.85,1.0,1.0,1.0,0.91,1.0,0.97,0.91,0.85,1.0,0.85,0.58,1.0,0.85,0.89,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,0.85,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,0.3560744024672023
61,edisonn61.xlsx,GMM,5000,2,17,2:40,normal,0.1,5,0,0,1.0,0.86,1.0,1.0,1.0,0.88,1.0,1.0,0.88,0.86,1.0,0.86,0.54,0.99,0.86,0.91,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,NI,0.91,0.96,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,0.8338510748630715
62,edisonn62.xlsx,GMM,5000,2,17,2:40,normal,0.3,1,0,0,0.73,0.74,0.85,0.84,0.79,0.76,0.79,0.75,0.79,0.74,0.79,0.74,0.53,0.79,0.74,0.77,0.53,0.76,0.83,0.83,0.79,0.79,0.37,0.37,0.79,0.79,NI,0.78,0.74,0.74,0.79,NI,NI,0.79,0.84,0.37,NI,0.79,0.79,0.79,0.79,0.37,0.61,0.61,0.37,0.79,0.79,0.79,0.79,0.79,0.37,0.37,0.37,0.9755855766239598
63,edisonn63.xlsx,GMM,5000,2,17,2:40,normal,0.3,5,0,0,0.99,0.85,0.97,1.0,0.99,0.99,0.97,0.89,0.87,0.85,0.99,0.85,0.54,0.96,0.85,0.9,0.99,0.97,0.96,0.89,0.99,0.97,0.99,0.99,0.99,0.99,NI,0.9,0.93,0.85,0.99,NI,NI,0.99,1.0,0.99,NI,0.97,0.97,0.96,0.96,1.0,1.0,1.0,0.96,1.0,1.0,0.96,0.96,1.0,0.37,0.37,0.37,1.0000000000000002
64,edisonn64.xlsx,GMM,5000,2,18,2:40,normal,0.1,1,0,0,1.0,0.87,1.0,1.0,1.0,0.95,1.0,0.93,0.95,0.87,1.0,0.87,0.64,1.0,0.87,0.91,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,0.87,1.0,NI,NI,1.0,1.0,1.0,NI,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,0.3329078387011044
65,edisonn65.xlsx,GMM,5000,2,18,2:40,normal,0.1,5,0,0,1.0,0.87,0.96,1.0,0.96,0.96,0.93,0.95,0.9,0.87,1.0,0.87,0.4,1.0,0.87,0.92,1.0,0.96,1.0,0.93,0.96,0.93,1.0,1.0,1.0,0.99,NI,0.93,0.84,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.96,0.93,0.93,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.9858550618461416
66,edisonn66.xlsx,GMM,5000,2,18,2:40,normal,0.3,1,0,0,0.86,0.76,0.87,0.87,0.62,0.78,0.39,0.82,0.79,0.76,0.82,0.76,0.53,0.62,0.76,0.8,0.39,0.62,0.82,0.53,0.86,0.84,0.39,0.39,0.74,0.74,NI,0.8,0.76,0.76,0.62,NI,NI,0.86,0.86,0.39,NI,0.39,0.39,0.39,0.39,0.72,0.62,0.62,0.39,0.62,0.62,0.53,0.62,0.62,0.39,0.39,0.39,0.9882821821031572
67,edisonn67.xlsx,GMM,5000,2,18,2:40,normal,0.3,5,0,0,0.96,0.85,0.93,0.95,0.95,0.93,0.93,0.91,0.94,0.85,0.97,0.85,0.54,0.92,0.85,0.9,0.96,0.93,0.95,0.66,0.95,0.93,0.96,0.96,0.96,0.95,NI,0.9,0.89,0.85,0.96,NI,NI,0.96,0.97,0.96,NI,0.93,0.93,0.93,0.93,0.96,0.96,0.96,0.92,0.96,0.96,0.92,0.96,0.96,0.4,0.4,0.4,0.9999999999999996
68,edisonn68.xlsx,GMM,5000,2,19,2:40,normal,0.1,1,0,0,1.0,0.87,1.0,1.0,1.0,0.93,1.0,0.88,0.82,0.87,1.0,0.87,0.53,1.0,0.87,0.92,1.0,1.0,1.0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,0.87,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,1.0,0.3327010769955435
69,edisonn69.xlsx,GMM,5000,2,19,2:40,normal,0.1,5,0,0,0.99,0.88,0.97,0.99,0.98,0.97,0.92,0.99,0.79,0.88,0.99,0.88,0.53,0.97,0.88,0.92,0.98,0.97,0.98,0.97,0.98,0.97,0.98,0.98,0.98,0.98,NI,0.92,0.79,0.98,0.99,NI,NI,0.98,0.99,0.98,NI,0.97,0.92,0.97,0.97,0.97,0.97,0.99,0.97,0.97,0.97,0.97,0.97,0.97,0.34,0.34,0.34,0.9660072697360242
70,edisonn70.xlsx,GMM,5000,2,19,2:40,normal,0.3,1,0,0,0.6,0.79,0.89,0.88,0.87,0.8,0.82,0.84,0.79,0.79,0.76,0.79,0.52,0.52,0.79,0.82,0.52,0.87,0.52,0.88,0.87,0.82,0.38,0.38,0.6,0.87,NI,0.82,0.79,0.8,0.52,NI,NI,0.87,0.76,0.38,NI,0.82,0.82,0.82,0.82,0.38,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.38,0.52,0.52,0.9874035931637024
71,edisonn71.xlsx,GMM,5000,2,19,2:40,normal,0.3,5,0,0,0.79,0.86,0.93,0.98,0.93,0.98,0.91,0.91,0.95,0.86,0.98,0.86,0.4,0.91,0.86,0.91,0.96,0.93,0.98,0.79,0.93,0.91,0.96,0.97,0.96,0.96,NI,0.91,0.72,0.86,0.96,NI,NI,0.96,0.98,0.97,NI,0.94,0.91,0.91,0.91,0.72,0.98,0.98,0.79,0.93,0.93,0.79,0.93,0.93,0.4,0.4,0.4,0.9580902688849536
72,edisonn72.xlsx,GMM,5000,2,20,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.71,1.0,0.83,0.93,0.88,1.0,0.88,0.56,1.0,0.88,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,1.0,0.88,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,0.966659062393834
73,edisonn73.xlsx,GMM,5000,2,20,2:40,normal,0.1,5,0,0,1.0,0.88,0.97,1.0,0.97,0.99,0.97,1.0,0.93,0.88,1.0,0.88,0.55,0.97,0.88,0.92,0.99,0.97,1.0,0.9,0.97,0.97,1.0,1.0,1.0,1.0,NI,0.93,0.65,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.97,0.97,0.97,0.97,0.97,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.39,0.39,0.39,0.972894433106575
74,edisonn74.xlsx,GMM,5000,2,20,2:40,normal,0.3,1,0,0,0.86,0.78,0.87,0.87,0.86,0.84,0.87,0.85,0.82,0.78,0.78,0.78,0.53,0.83,0.78,0.82,0.37,0.83,0.86,0.82,0.86,0.87,0.37,0.37,0.83,0.86,NI,0.82,0.83,0.78,0.86,NI,NI,0.78,0.8,0.37,NI,0.78,0.87,0.86,0.86,0.37,0.62,0.53,0.37,0.53,0.53,0.53,0.53,0.53,0.37,0.37,0.53,0.9884031423851196
75,edisonn75.xlsx,GMM,5000,2,20,2:40,normal,0.3,5,0,0,0.99,0.87,0.94,0.99,0.96,0.88,0.92,0.93,0.97,0.87,0.99,0.87,0.55,0.96,0.87,0.91,0.96,0.96,0.91,0.89,0.96,0.94,0.96,0.96,0.96,0.96,NI,0.92,0.83,0.87,0.99,NI,NI,0.96,0.99,0.96,NI,0.95,0.92,0.92,0.95,0.71,0.99,0.99,0.71,0.96,0.96,0.71,0.96,0.96,0.39,0.39,0.39,0.9906222208845836
76,edisonn76.xlsx,GMM,5000,2,21,2:40,normal,0.1,1,0,0,0.85,0.89,1.0,1.0,1.0,0.99,1.0,0.97,0.99,0.89,1.0,0.89,0.39,1.0,0.89,0.94,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.39,1.0,1.0,NI,0.94,1.0,1.0,1.0,NI,NI,1.0,1.0,0.39,NI,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,1.0
77,edisonn77.xlsx,GMM,5000,2,21,2:40,normal,0.1,5,0,0,1.0,0.9,0.97,1.0,0.98,0.79,0.97,1.0,0.81,0.9,1.0,0.9,0.53,0.97,0.97,0.93,1.0,0.97,1.0,1.0,0.98,0.97,0.98,1.0,1.0,1.0,NI,0.94,0.85,1.0,1.0,NI,NI,0.98,1.0,1.0,NI,0.97,0.97,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,0.9674502603254116
78,edisonn78.xlsx,GMM,5000,2,21,2:40,normal,0.3,1,0,0,0.85,0.76,0.86,0.86,0.79,0.83,0.86,0.8,0.82,0.76,0.74,0.76,0.5,0.5,0.76,0.79,0.37,0.79,0.74,0.5,0.79,0.86,0.37,0.37,0.79,0.82,NI,0.8,0.76,0.76,0.86,NI,NI,0.74,0.64,0.37,NI,0.86,0.86,0.86,0.86,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.37,0.37,0.37,0.993774239842205
100,edisonn100.xlsx,GMM,5000,2,27,2:40,normal,0.1,1,0,0,1.0,0.94,1.0,1.0,1.0,0.97,1.0,0.93,0.97,0.94,1.0,0.94,0.36,1.0,0.94,0.96,0.99,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,0.36,0.9894491527047136
101,edisonn101.xlsx,GMM,5000,2,27,2:40,normal,0.1,5,0,0,1.0,0.94,1.0,1.0,0.99,0.96,0.94,0.75,0.95,0.94,1.0,0.94,0.51,0.99,0.94,0.97,0.99,0.97,1.0,1.0,0.99,0.94,0.99,1.0,1.0,1.0,NI,0.96,0.85,1.0,1.0,NI,NI,0.99,1.0,1.0,NI,0.99,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29,0.67,0.29,0.3825822580558625
102,edisonn102.xlsx,GMM,5000,2,27,2:40,normal,0.3,1,0,0,0.64,0.86,0.9,0.9,0.89,0.85,0.36,0.9,0.76,0.86,0.64,0.86,0.36,0.58,0.86,0.88,0.36,0.89,0.89,0.72,0.89,0.36,0.36,0.36,0.89,0.86,NI,0.9,0.81,0.9,0.64,NI,NI,0.86,0.64,0.36,NI,0.36,0.36,0.36,0.36,0.58,0.58,0.58,0.36,0.58,0.58,0.58,0.58,0.58,0.36,0.36,0.36,0.8860417710710176
103,edisonn103.xlsx,GMM,5000,2,27,2:40,normal,0.3,5,0,0,0.72,0.93,0.96,0.99,0.97,0.92,0.9,0.67,0.81,0.93,0.99,0.93,0.51,0.96,0.99,0.97,0.97,0.96,0.99,0.99,0.96,0.9,0.97,0.97,0.99,0.99,NI,0.96,0.84,0.97,0.99,NI,NI,0.97,0.99,0.97,NI,0.96,0.9,0.9,0.9,0.67,0.99,0.99,0.96,0.67,0.67,0.67,0.67,0.97,0.29,0.29,0.29,0.3340260694225767
104,edisonn104.xlsx,GMM,5000,2,28,2:40,normal,0.1,1,0,0,1.0,0.94,1.0,1.0,1.0,0.99,1.0,1.0,0.67,0.94,1.0,0.94,0.51,1.0,0.94,0.98,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.51,0.51,0.983844857498592
105,edisonn105.xlsx,GMM,5000,2,28,2:40,normal,0.1,5,0,0,0.58,0.95,0.98,1.0,0.98,0.98,0.98,1.0,0.98,0.95,1.0,0.95,0.34,0.98,0.95,0.98,0.98,0.98,1.0,0.86,0.99,0.98,1.0,1.0,1.0,1.0,NI,0.96,0.89,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.98,0.98,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.34,0.34,1.0
106,edisonn106.xlsx,GMM,5000,2,28,2:40,normal,0.3,1,0,0,0.85,0.84,0.9,0.9,0.7,0.65,0.89,0.84,0.77,0.84,0.58,0.84,0.5,0.5,0.84,0.86,0.35,0.5,0.85,0.9,0.88,0.89,0.35,0.35,0.7,0.88,NI,0.89,0.88,0.87,0.5,NI,NI,0.5,0.85,0.35,NI,0.89,0.89,0.89,0.89,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.35,0.35,0.35,0.9995403408440288
107,edisonn107.xlsx,GMM,5000,2,28,2:40,normal,0.3,5,0,0,0.7,0.93,0.98,0.98,0.98,0.95,0.98,0.78,0.97,0.93,0.98,0.93,0.34,0.97,0.93,0.97,0.98,0.98,0.98,0.72,0.98,0.98,0.98,0.98,0.98,0.98,NI,0.96,0.84,0.98,0.97,NI,NI,0.98,0.98,0.98,NI,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.34,0.34,0.34,1.0
108,edisonn108.xlsx,GMM,5000,2,29,2:40,normal,0.1,1,0,0,0.5,0.94,1.0,1.0,1.0,0.5,1.0,0.9,0.98,0.94,1.0,0.94,0.5,1.0,0.95,0.98,0.97,1.0,0.89,0.95,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,0.9945967493249324
109,edisonn109.xlsx,GMM,5000,2,29,2:40,normal,0.1,5,0,0,0.96,0.96,0.97,1.0,0.97,0.98,0.97,1.0,0.98,0.96,1.0,0.96,0.49,0.97,0.96,0.99,0.31,0.97,1.0,1.0,0.97,0.97,1.0,1.0,1.0,1.0,NI,0.96,0.84,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,0.97,0.97,0.97,0.97,0.97,0.97,1.0,0.97,0.97,0.97,0.97,0.97,0.97,0.31,0.31,0.31,0.2768263078173024
110,edisonn110.xlsx,GMM,5000,2,29,2:40,normal,0.3,1,0,0,0.49,0.85,0.89,0.89,0.88,0.88,0.72,0.62,0.86,0.85,0.82,0.85,0.49,0.49,0.85,0.88,0.49,0.82,0.88,0.89,0.86,0.88,0.49,0.32,0.62,0.82,NI,0.88,0.88,0.85,0.49,NI,NI,0.87,0.79,0.32,NI,0.82,0.72,0.88,0.88,0.62,0.57,0.57,0.62,0.67,0.49,0.62,0.49,0.49,0.32,0.32,0.32,0.9852848012604242
111,edisonn111.xlsx,GMM,5000,2,29,2:40,normal,0.3,5,0,0,0.95,0.94,0.98,0.97,0.98,0.8,0.96,0.95,0.8,0.94,0.98,0.94,0.5,0.96,0.94,0.97,0.95,0.96,0.97,0.82,0.98,0.96,0.98,0.98,0.98,0.98,NI,0.96,0.85,0.98,0.98,NI,NI,0.98,0.98,0.98,NI,0.96,0.96,0.96,0.96,0.99,0.98,0.98,0.69,0.98,0.98,0.85,0.98,0.98,0.3,0.3,0.3,0.3451327765293233
112,edisonn112.xlsx,GMM,5000,2,30,2:40,normal,0.1,1,0,0,0.99,0.95,1.0,0.99,1.0,0.74,0.99,0.95,0.94,0.95,0.99,0.95,0.49,1.0,0.95,0.99,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.99,0.99,NI,0.95,1.0,1.0,1.0,NI,NI,1.0,0.99,0.34,NI,1.0,0.99,0.98,0.98,0.34,0.34,0.34,0.99,0.98,0.34,0.99,0.96,0.98,0.34,0.34,0.34,1.0
113,edisonn113.xlsx,GMM,5000,2,30,2:40,normal,0.1,5,0,0,1.0,0.95,1.0,0.99,1.0,0.99,1.0,0.82,0.98,0.95,0.99,0.95,0.33,1.0,0.95,0.99,0.99,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,0.96,1.0,0.99,NI,NI,1.0,0.99,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.33,0.33,0.2803842670320217
114,edisonn114.xlsx,GMM,5000,2,30,2:40,normal,0.3,1,0,0,0.72,0.84,0.88,0.88,0.79,0.74,0.87,0.87,0.87,0.84,0.79,0.84,0.33,0.78,0.84,0.86,0.33,0.81,0.88,0.47,0.81,0.87,0.33,0.33,0.79,0.79,NI,0.87,0.79,0.84,0.33,NI,NI,0.57,0.57,0.33,NI,0.81,0.87,0.87,0.87,0.47,0.47,0.47,0.33,0.33,0.33,0.33,0.33,0.33,0.47,0.47,0.47,0.922021384523498
115,edisonn115.xlsx,GMM,5000,2,30,2:40,normal,0.3,5,0,0,0.59,0.95,1.0,1.0,0.99,0.96,0.59,0.87,0.94,0.95,1.0,0.95,0.32,0.97,0.95,0.99,1.0,0.97,1.0,1.0,0.99,0.97,1.0,1.0,1.0,1.0,NI,0.94,0.97,1.0,0.96,NI,NI,1.0,1.0,1.0,NI,0.97,0.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,0.9915885276598164
116,edisonn116.xlsx,GMM,5000,2,31,2:40,normal,0.1,1,0,0,1.0,0.95,1.0,1.0,1.0,0.94,1.0,0.99,0.9,0.95,1.0,0.29,0.5,1.0,0.95,0.99,0.65,1.0,1.0,0.73,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29,0.5,0.29,0.9915403243607208
117,edisonn117.xlsx,GMM,5000,2,31,2:40,normal,0.1,5,0,0,0.74,0.96,1.0,1.0,1.0,0.95,1.0,1.0,0.89,0.96,1.0,0.96,0.31,1.0,0.96,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,0.93,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.31,0.31,0.964680523340474
118,edisonn118.xlsx,GMM,5000,2,31,2:40,normal,0.3,1,0,0,0.86,0.86,0.9,0.9,0.86,0.87,0.7,0.89,0.9,0.86,0.68,0.86,0.31,0.86,0.86,0.89,0.61,0.86,0.77,0.51,0.86,0.86,0.31,0.31,0.86,0.86,NI,0.89,0.86,0.86,0.61,NI,NI,0.86,0.68,0.31,NI,0.7,0.7,0.7,0.7,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.86,0.86,0.31,0.31,0.31,0.9239189263811478
119,edisonn119.xlsx,GMM,5000,2,31,2:40,normal,0.3,5,0,0,0.61,0.96,1.0,0.99,0.99,0.56,0.94,0.47,0.85,0.96,1.0,0.96,0.31,1.0,0.96,0.99,0.47,0.99,1.0,1.0,1.0,0.94,1.0,1.0,0.99,1.0,NI,0.94,0.85,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.94,0.94,0.94,0.94,0.56,1.0,1.0,0.56,1.0,1.0,0.94,1.0,1.0,0.56,0.31,0.31,0.4593197873871893
120,edisonn120.xlsx,GMM,5000,2,32,2:40,normal,0.1,1,0,0,0.78,0.96,1.0,1.0,1.0,0.98,1.0,1.0,0.97,0.96,1.0,0.96,0.35,1.0,0.96,1.0,0.35,1.0,0.88,0.88,1.0,1.0,1.0,0.35,1.0,1.0,NI,0.94,1.0,1.0,0.98,NI,NI,1.0,1.0,0.35,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,1.0
121,edisonn121.xlsx,GMM,5000,2,32,2:40,normal,0.1,5,0,0,1.0,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.96,1.0,0.96,0.33,1.0,0.96,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,0.66,1.0,0.95,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47,0.47,0.33,1.0
122,edisonn122.xlsx,GMM,5000,2,32,2:40,normal,0.3,1,0,0,0.83,0.88,0.89,0.89,0.89,0.82,0.88,0.86,0.88,0.88,0.34,0.88,0.34,0.34,0.88,0.89,0.34,0.34,0.77,0.76,0.34,0.88,0.34,0.34,0.61,0.89,NI,0.88,0.89,0.88,0.61,NI,NI,0.34,0.7,0.34,NI,0.34,0.88,0.88,0.88,0.43,0.61,0.61,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.9857039458729024
123,edisonn123.xlsx,GMM,5000,2,32,2:40,normal,0.3,5,0,0,0.98,0.96,1.0,0.98,0.99,0.71,0.47,0.8,0.97,0.96,1.0,0.96,0.33,1.0,0.96,0.99,0.63,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,NI,0.94,0.81,1.0,1.0,NI,NI,0.99,1.0,0.99,NI,0.99,0.47,0.86,0.47,0.54,1.0,1.0,0.47,0.99,0.99,0.54,0.99,0.99,0.47,0.47,0.33,0.9888096753183848
124,edisonn124.xlsx,GMM,5000,2,33,2:40,normal,0.1,1,0,0,0.93,0.97,1.0,1.0,1.0,0.88,1.0,0.79,0.99,0.97,1.0,0.97,0.48,1.0,0.97,0.99,0.75,1.0,1.0,0.88,1.0,1.0,1.0,0.34,1.0,1.0,NI,0.93,1.0,1.0,1.0,NI,NI,1.0,1.0,0.34,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.48,0.48,0.9871937158636231
125,edisonn125.xlsx,GMM,5000,2,33,2:40,normal,0.1,5,0,0,1.0,0.96,1.0,1.0,1.0,0.97,1.0,1.0,0.99,0.96,1.0,0.96,0.32,1.0,0.96,1.0,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,0.68,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,0.32,0.9670121311425108
126,edisonn126.xlsx,GMM,5000,2,33,2:40,normal,0.3,1,0,0,0.86,0.84,0.87,0.87,0.69,0.77,0.47,0.86,0.83,0.84,0.69,0.84,0.47,0.47,0.84,0.87,0.33,0.84,0.87,0.87,0.47,0.84,0.33,0.33,0.83,0.83,NI,0.85,0.86,0.87,0.47,NI,NI,0.47,0.57,0.33,NI,0.84,0.47,0.84,0.84,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.33,0.47,0.47,0.9284521906450638
127,edisonn127.xlsx,GMM,5000,2,33,2:40,normal,0.3,5,0,0,0.4,0.96,1.0,1.0,0.97,0.84,0.32,0.96,0.98,0.96,1.0,0.96,0.32,1.0,0.96,1.0,0.99,0.97,0.93,0.88,1.0,0.96,1.0,1.0,1.0,1.0,NI,0.94,0.7,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,0.96,0.32,0.32,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,0.9475582250563432
128,edisonn128.xlsx,GMM,5000,2,34,2:40,normal,0.1,1,0,0,0.99,0.97,0.99,0.99,0.99,0.74,0.99,0.96,0.98,0.97,0.99,0.97,0.44,0.99,0.97,0.99,0.8,0.99,0.99,0.99,0.99,0.99,0.99,0.34,0.99,0.99,NI,0.94,0.99,0.99,0.99,NI,NI,0.99,0.99,0.34,NI,0.99,0.99,0.98,0.98,0.44,0.88,0.99,0.44,0.44,0.44,0.44,0.44,0.44,0.34,0.34,0.34,0.9438442506498376
